"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"0","2","1","100.0","0.0","0.0"
"1","2","2","99.0","0.0","0.0"
"2","2","2","99.0","0.0","0.0"
"3","2","4","98.0","0.0","0.0"
"4","2","4","98.0","0.0","0.0"
"5","2","5","97.0","0.0","0.0"
"6","2","5","97.0","0.0","0.0"
"7","2","6","96.0","0.0","0.0"
"8","2","6","96.0","0.0","0.0"
"9","2","7","95.0","0.0","0.0"
"10","2","7","95.0","0.0","0.0"
"11","2","7","94.0","0.0","0.0"
"12","2","7","94.0","0.0","0.0"
"13","2","7","93.0","0.0","0.0"
"14","2","7","93.0","0.0","0.0"
"15","2","7","92.0","0.0","0.0"
"16","2","7","92.0","0.0","0.0"
"17","2","7","106.0","0.0","0.0"
"18","2","7","106.0","0.0","0.0"
"19","2","7","105.0","0.0","0.0"
"20","2","7","105.0","0.0","0.0"
"21","2","7","104.0","0.0","0.0"
"22","2","7","104.0","0.0","0.0"
"23","2","7","118.0","0.0","0.0"
"24","2","7","118.0","0.0","0.0"
"25","2","7","132.0","0.0","0.0"
"26","2","7","132.0","0.0","0.0"
"27","2","7","131.0","0.0","0.0"
"28","2","7","131.0","0.0","0.0"
"29","2","7","130.0","0.0","0.0"
"30","2","7","130.0","0.0","0.0"
"31","2","7","130.0","0.0","0.0"
"32","2","7","130.0","0.0","0.0"
"33","2","7","130.0","0.0","0.0"
"34","2","7","130.0","0.0","0.0"
"35","2","7","130.0","0.0","0.0"
"36","2","7","130.0","0.0","0.0"
"37","2","7","130.0","0.0","0.0"
"38","2","7","130.0","0.0","0.0"
"39","2","7","129.0","0.0","0.0"
"40","2","7","129.0","0.0","0.0"
"41","2","7","128.0","0.0","0.0"
"42","2","7","128.0","0.0","0.0"
"43","2","7","157.0","0.0","0.0"
"44","2","7","157.0","0.0","0.0"
"45","2","7","156.0","0.0","0.0"
"46","2","7","156.0","0.0","0.0"
"47","2","7","155.0","0.0","0.0"
"48","2","7","155.0","0.0","0.0"
"49","2","7","154.0","0.0","0.0"
"50","2","7","154.0","0.0","0.0"
"51","2","7","153.0","0.0","0.0"
"52","2","7","153.0","0.0","0.0"
"53","2","7","152.0","0.0","0.0"
"54","2","7","152.0","0.0","0.0"
"55","2","7","151.0","0.0","0.0"
"56","2","7","151.0","0.0","0.0"
"57","2","7","150.0","0.0","0.0"
"58","2","7","150.0","0.0","0.0"
"59","2","7","149.0","0.0","0.0"
"60","2","7","149.0","0.0","0.0"
"61","2","7","163.0","0.0","0.0"
"62","2","7","163.0","0.0","0.0"
"63","2","7","162.0","0.0","0.0"
"64","2","7","162.0","0.0","0.0"
"65","2","7","161.0","0.0","0.0"
"66","2","7","161.0","0.0","0.0"
"67","2","7","160.0","0.0","0.0"
"68","2","7","160.0","0.0","0.0"
"69","2","7","159.0","0.0","0.0"
"70","2","7","159.0","0.0","0.0"
"71","2","7","158.0","0.0","0.0"
"72","2","7","158.0","0.0","0.0"
"73","2","7","157.0","0.0","0.0"
"74","2","7","157.0","0.0","0.0"
"75","2","7","156.0","0.0","0.0"
"76","2","7","156.0","0.0","0.0"
"77","2","7","155.0","0.0","0.0"
"78","2","7","155.0","0.0","0.0"
"79","2","7","154.0","0.0","0.0"
"80","2","7","154.0","0.0","0.0"
"81","3","8","102.0","0.0","0.6666666666666666"
"82","3","8","102.0","0.0","0.6666666666666666"
"83","4","8","75.75","0.0","1.0"
"84","4","8","75.75","0.0","1.0"
"85","5","8","59.8","0.0","1.2"
"86","5","8","59.8","0.0","1.2"
"87","6","8","49.0","0.0","1.3333333333333333"
"88","6","8","49.0","0.0","1.3333333333333333"
"89","7","7","45.42857142857143","0.0","1.4285714285714286"
"90","7","7","45.42857142857143","0.0","1.4285714285714286"
"91","7","7","44.42857142857143","0.0","1.4285714285714286"
"92","7","7","44.42857142857143","0.0","1.4285714285714286"
