"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"0","2","1","100.0","0.0","0.0"
"1","2","3","99.0","0.0","0.0"
"2","2","3","99.0","0.0","0.0"
"3","2","4","98.0","0.0","0.0"
"4","2","4","98.0","0.0","0.0"
"5","2","5","97.0","0.0","0.0"
"6","2","5","97.0","0.0","0.0"
"7","2","6","96.0","0.0","0.0"
"8","2","6","96.0","0.0","0.0"
"9","2","7","95.0","0.0","0.0"
"10","2","7","95.0","0.0","0.0"
"11","2","7","94.0","0.0","0.0"
"12","2","7","94.0","0.0","0.0"
"13","2","7","93.0","0.0","0.0"
"14","2","7","93.0","0.0","0.0"
"15","2","7","92.0","0.0","0.0"
"16","2","7","92.0","0.0","0.0"
"17","3","7","70.66666666666667","0.0","0.6666666666666666"
"18","3","7","70.66666666666667","0.0","0.6666666666666666"
"19","3","6","89.66666666666667","0.0","0.6666666666666666"
"20","3","6","89.66666666666667","0.0","0.6666666666666666"
"21","3","6","98.66666666666667","0.0","0.6666666666666666"
"22","3","6","98.66666666666667","0.0","0.6666666666666666"
"23","3","6","97.66666666666667","0.0","0.6666666666666666"
"24","3","6","97.66666666666667","0.0","0.6666666666666666"
"25","3","6","96.66666666666667","0.0","0.6666666666666666"
"26","3","6","96.66666666666667","0.0","0.6666666666666666"
"27","3","6","95.66666666666667","0.0","0.6666666666666666"
"28","3","6","95.66666666666667","0.0","0.6666666666666666"
"29","3","6","94.66666666666667","0.0","0.6666666666666666"
"30","3","6","94.66666666666667","0.0","0.6666666666666666"
"31","3","6","103.66666666666667","0.0","0.6666666666666666"
"32","3","6","103.66666666666667","0.0","0.6666666666666666"
"33","3","5","122.66666666666667","0.0","0.6666666666666666"
"34","3","5","122.66666666666667","0.0","0.6666666666666666"
"35","3","6","121.66666666666667","0.0","0.6666666666666666"
"36","3","6","121.66666666666667","0.0","0.6666666666666666"
"37","3","6","130.66666666666666","0.0","0.6666666666666666"
"38","3","6","130.66666666666666","0.0","0.6666666666666666"
"39","3","6","129.66666666666666","0.0","0.6666666666666666"
"40","3","6","129.66666666666666","0.0","0.6666666666666666"
"41","3","6","128.66666666666666","0.0","0.6666666666666666"
"42","3","6","128.66666666666666","0.0","0.6666666666666666"
"43","3","6","137.66666666666666","0.0","0.6666666666666666"
"44","3","6","137.66666666666666","0.0","0.6666666666666666"
"45","3","6","146.66666666666666","0.0","0.6666666666666666"
"46","3","6","146.66666666666666","0.0","0.6666666666666666"
"47","3","6","145.66666666666666","0.0","0.6666666666666666"
"48","3","6","145.66666666666666","0.0","0.6666666666666666"
"49","3","6","144.66666666666666","0.0","0.6666666666666666"
"50","3","6","144.66666666666666","0.0","0.6666666666666666"
"51","3","6","153.66666666666666","0.0","0.6666666666666666"
"52","3","6","153.66666666666666","0.0","0.6666666666666666"
"53","4","7","114.5","0.0","1.0"
"54","4","7","114.5","0.0","1.0"
"55","5","6","96.8","0.0","1.2"
"56","5","6","96.8","0.0","1.2"
"57","6","6","79.83333333333333","0.0","1.3333333333333333"
"58","6","6","79.83333333333333","0.0","1.3333333333333333"
"59","7","5","76.14285714285714","0.0","1.4285714285714286"
"60","7","5","76.14285714285714","0.0","1.4285714285714286"
"61","8","6","65.75","0.0","1.5"
"62","8","6","65.75","0.0","1.5"
"63","9","5","60.888888888888886","0.0","1.5555555555555556"
"64","9","5","60.888888888888886","0.0","1.5555555555555556"
"65","10","5","56.9","0.0","1.6"
"66","10","5","56.9","0.0","1.6"
"67","10","5","58.9","0.0","1.6"
"68","10","5","58.9","0.0","1.6"
"69","10","5","57.9","0.0","1.6"
"70","10","5","57.9","0.0","1.6"
"71","10","4","59.9","0.0","1.6"
"72","10","4","59.9","0.0","1.6"
"73","11","4","53.54545454545455","0.0","1.6363636363636365"
"74","11","4","53.54545454545455","0.0","1.6363636363636365"
"75","11","3","55.27272727272727","0.0","1.6363636363636365"
"76","11","3","55.27272727272727","0.0","1.6363636363636365"
"77","11","3","54.27272727272727","0.0","1.6363636363636365"
"78","11","3","54.27272727272727","0.0","1.6363636363636365"
"79","11","3","56.0","0.0","1.6363636363636365"
"80","11","3","56.0","0.0","1.6363636363636365"
"81","12","4","50.416666666666664","0.0","1.6666666666666667"
"82","12","4","50.416666666666664","0.0","1.6666666666666667"
"83","12","2","54.416666666666664","0.0","1.6666666666666667"
"84","12","2","54.416666666666664","0.0","1.6666666666666667"
"85","12","1","55.916666666666664","0.0","1.6666666666666667"
"86","12","1","55.916666666666664","0.0","1.6666666666666667"
"87","13","2","50.69230769230769","0.0","1.6923076923076923"
"88","13","2","50.69230769230769","0.0","1.6923076923076923"
"89","14","2","48.285714285714285","0.0","1.7142857142857142"
"90","14","2","48.285714285714285","0.0","1.7142857142857142"
"91","14","2","49.42857142857143","0.0","1.7142857142857142"
"92","14","2","49.42857142857143","0.0","1.7142857142857142"
"93","14","2","48.42857142857143","0.0","1.7142857142857142"
"94","14","2","48.42857142857143","0.0","1.7142857142857142"
"95","14","2","47.42857142857143","0.0","1.7142857142857142"
"96","14","2","47.42857142857143","0.0","1.7142857142857142"
"97","14","2","46.42857142857143","0.0","1.7142857142857142"
