"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"0","2","1","100.0","0.0","0.0"
"1","2","2","99.0","0.0","0.0"
"2","2","2","99.0","0.0","0.0"
"3","2","4","98.0","0.0","0.0"
"4","2","4","98.0","0.0","0.0"
"5","2","5","97.0","0.0","0.0"
"6","2","5","97.0","0.0","0.0"
"7","2","6","96.0","0.0","0.0"
"8","2","6","96.0","0.0","0.0"
"9","2","6","110.0","0.0","0.0"
"10","2","6","110.0","0.0","0.0"
"11","2","7","109.0","0.0","0.0"
"12","2","7","109.0","0.0","0.0"
"13","2","7","108.0","0.0","0.0"
"14","2","7","108.0","0.0","0.0"
"15","2","7","107.0","0.0","0.0"
"16","2","7","107.0","0.0","0.0"
"17","2","7","106.0","0.0","0.0"
"18","2","7","106.0","0.0","0.0"
"19","2","7","120.0","0.0","0.0"
"20","2","7","120.0","0.0","0.0"
"21","2","7","134.0","0.0","0.0"
"22","2","7","134.0","0.0","0.0"
"23","2","7","133.0","0.0","0.0"
"24","2","7","133.0","0.0","0.0"
"25","2","7","132.0","0.0","0.0"
"26","2","7","132.0","0.0","0.0"
"27","2","7","131.0","0.0","0.0"
"28","2","7","131.0","0.0","0.0"
"29","2","7","145.0","0.0","0.0"
"30","2","7","145.0","0.0","0.0"
"31","2","7","144.0","0.0","0.0"
"32","2","7","158.0","0.0","0.0"
"33","2","7","157.0","0.0","0.0"
"34","2","7","156.0","0.0","0.0"
"35","2","7","170.0","0.0","0.0"
"36","2","7","169.0","0.0","0.0"
"37","2","7","168.0","0.0","0.0"
"38","2","7","182.0","0.0","0.0"
"39","2","7","181.0","0.0","0.0"
"40","2","7","181.0","0.0","0.0"
"41","2","7","180.0","0.0","0.0"
"42","2","7","180.0","0.0","0.0"
"43","2","7","179.0","0.0","0.0"
"44","2","7","179.0","0.0","0.0"
"45","2","7","178.0","0.0","0.0"
"46","2","7","178.0","0.0","0.0"
"47","2","7","177.0","0.0","0.0"
"48","2","7","177.0","0.0","0.0"
"49","2","7","176.0","0.0","0.0"
"50","2","7","176.0","0.0","0.0"
"51","2","7","190.0","0.0","0.0"
"52","2","7","190.0","0.0","0.0"
"53","2","7","189.0","0.0","0.0"
"54","2","7","189.0","0.0","0.0"
"55","2","7","203.0","0.0","0.0"
"56","2","7","203.0","0.0","0.0"
"57","2","7","202.0","0.0","0.0"
"58","2","7","202.0","0.0","0.0"
"59","2","7","201.0","0.0","0.0"
"60","2","7","201.0","0.0","0.0"
"61","2","7","200.0","0.0","0.0"
"62","2","7","200.0","0.0","0.0"
"63","2","7","199.0","0.0","0.0"
"64","2","7","199.0","0.0","0.0"
"65","3","8","132.0","0.0","0.6666666666666666"
"66","3","8","132.0","0.0","0.6666666666666666"
"67","3","6","151.0","0.0","0.6666666666666666"
"68","3","6","151.0","0.0","0.6666666666666666"
"69","3","6","150.0","0.0","0.6666666666666666"
"70","3","6","150.0","0.0","0.6666666666666666"
"71","3","6","149.0","0.0","0.6666666666666666"
"72","3","6","149.0","0.0","0.6666666666666666"
"73","3","6","148.0","0.0","0.6666666666666666"
"74","3","6","148.0","0.0","0.6666666666666666"
"75","3","6","147.0","0.0","0.6666666666666666"
"76","3","6","147.0","0.0","0.6666666666666666"
"77","3","6","146.0","0.0","0.6666666666666666"
"78","3","6","146.0","0.0","0.6666666666666666"
"79","3","6","145.0","0.0","0.6666666666666666"
"80","3","6","145.0","0.0","0.6666666666666666"
"81","3","6","144.0","0.0","0.6666666666666666"
"82","3","6","144.0","0.0","0.6666666666666666"
"83","3","6","143.0","0.0","0.6666666666666666"
"84","3","6","143.0","0.0","0.6666666666666666"
"85","3","6","142.0","0.0","0.6666666666666666"
"86","3","6","142.0","0.0","0.6666666666666666"
"87","3","6","141.0","0.0","0.6666666666666666"
"88","3","6","141.0","0.0","0.6666666666666666"
"89","3","6","140.0","0.0","0.6666666666666666"
