"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"0","2","1","100.0","0.0","0.0"
"1","2","2","99.0","0.0","0.0"
"2","2","4","113.0","0.0","0.0"
"3","2","5","112.0","0.0","0.0"
"4","2","5","112.0","0.0","0.0"
"5","2","4","141.0","0.0","0.0"
"6","2","4","141.0","0.0","0.0"
"7","2","4","155.0","0.0","0.0"
"8","2","4","155.0","0.0","0.0"
"9","2","5","154.0","0.0","0.0"
"10","2","5","154.0","0.0","0.0"
"11","2","6","153.0","0.0","0.0"
"12","2","6","153.0","0.0","0.0"
"13","2","7","152.0","0.0","0.0"
"14","2","7","151.0","0.0","0.0"
"15","2","7","151.0","0.0","0.0"
"16","2","7","165.0","0.0","0.0"
"17","2","7","164.0","0.0","0.0"
"18","2","7","164.0","0.0","0.0"
"19","2","7","164.0","0.0","0.0"
"20","2","7","163.0","0.0","0.0"
"21","2","7","162.0","0.0","0.0"
"22","2","7","162.0","0.0","0.0"
"23","2","7","161.0","0.0","0.0"
"24","2","7","161.0","0.0","0.0"
"25","2","7","175.0","0.0","0.0"
"26","2","7","175.0","0.0","0.0"
"27","2","6","204.0","0.0","0.0"
"28","2","6","204.0","0.0","0.0"
"29","2","7","203.0","0.0","0.0"
"30","2","7","203.0","0.0","0.0"
"31","2","7","203.0","0.0","0.0"
"32","2","7","217.0","0.0","0.0"
"33","2","7","217.0","0.0","0.0"
"34","2","7","216.0","0.0","0.0"
"35","2","7","216.0","0.0","0.0"
"36","2","7","216.0","0.0","0.0"
"37","2","7","230.0","0.0","0.0"
"38","2","7","230.0","0.0","0.0"
"39","2","7","229.0","0.0","0.0"
"40","2","7","229.0","0.0","0.0"
"41","2","7","243.0","0.0","0.0"
"42","2","7","243.0","0.0","0.0"
"43","2","7","243.0","0.0","0.0"
"44","2","7","242.0","0.0","0.0"
"45","2","7","242.0","0.0","0.0"
"46","2","7","241.0","0.0","0.0"
"47","2","7","241.0","0.0","0.0"
"48","2","7","240.0","0.0","0.0"
"49","2","7","240.0","0.0","0.0"
"50","2","7","239.0","0.0","0.0"
"51","2","7","239.0","0.0","0.0"
"52","2","7","238.0","0.0","0.0"
"53","2","7","238.0","0.0","0.0"
"54","2","7","238.0","0.0","0.0"
"55","2","7","237.0","0.0","0.0"
"56","2","7","237.0","0.0","0.0"
"57","2","7","236.0","0.0","0.0"
"58","2","7","236.0","0.0","0.0"
"59","2","7","235.0","0.0","0.0"
"60","2","7","235.0","0.0","0.0"
"61","2","7","249.0","0.0","0.0"
"62","2","7","249.0","0.0","0.0"
"63","2","7","248.0","0.0","0.0"
"64","2","7","248.0","0.0","0.0"
"65","2","7","247.0","0.0","0.0"
"66","2","7","247.0","0.0","0.0"
"67","2","7","246.0","0.0","0.0"
"68","2","7","260.0","0.0","0.0"
"69","2","7","260.0","0.0","0.0"
"70","2","7","260.0","0.0","0.0"
"71","2","7","259.0","0.0","0.0"
"72","2","7","258.0","0.0","0.0"
"73","2","7","258.0","0.0","0.0"
"74","2","7","258.0","0.0","0.0"
"75","2","7","272.0","0.0","0.0"
"76","2","7","272.0","0.0","0.0"
"77","2","7","286.0","0.0","0.0"
"78","2","7","285.0","0.0","0.0"
"79","2","7","285.0","0.0","0.0"
"80","2","7","285.0","0.0","0.0"
"81","2","7","284.0","0.0","0.0"
"82","2","7","284.0","0.0","0.0"
"83","2","7","298.0","0.0","0.0"
"84","2","7","298.0","0.0","0.0"
"85","2","7","297.0","0.0","0.0"
"86","2","7","297.0","0.0","0.0"
"87","2","7","296.0","0.0","0.0"
"88","2","7","296.0","0.0","0.0"
"89","2","7","295.0","0.0","0.0"
"90","2","7","295.0","0.0","0.0"
"91","2","7","294.0","0.0","0.0"
"92","2","7","294.0","0.0","0.0"
"93","2","7","293.0","0.0","0.0"
"94","2","7","293.0","0.0","0.0"
"95","2","7","292.0","0.0","0.0"
